N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice
60,55,44,23.00445915,82.32076289,7.840207144,263.9642476,rice
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice
69,37,42,23.04338671,83.37011772,6.289660881,251.0549769,rice
69,55,38,22.76312544,82.63941645,5.972835573,271.3248604,rice
94,53,40,20.27809419,82.41690366,5.593746765,241.9767571,rice
89,54,38,24.51588066,80.2586881,6.486530958,232.3890352,rice
68,58,38,22.85472045,82.77622572,6.334973027,225.0634507,rice
77,52,17,22.61688299,65.06928956,6.001982658,67.21647324,maize
72,52,17,23.22490817,65.35723854,5.971542712,59.51634947,maize
82,53,17,23.07018876,65.22518009,6.020020977,67.54758083,maize
76,52,17,23.00324247,65.02070673,6.01473809,67.26498323,maize
73,52,17,23.34811926,65.55445483,5.979093518,59.35868936,maize
78,52,17,24.02764009,65.60528576,6.048374827,69.01468647,maize
88,40,40,28.53736404,35.77223887,5.904003408,37.68313987,chickpea
92,40,40,28.69164184,35.97289478,6.083049569,46.09043655,chickpea
80,40,40,28.00340592,35.82208474,6.120706527,44.50989308,chickpea
84,40,40,27.99430545,35.65880815,6.093548615,46.44340254,chickpea
22,72,20,29.25089609,90.62832652,5.974537202,154.9583164,jute
27,66,20,29.29880792,90.35583558,6.023441754,154.9047024,jute
22,67,20,29.67882164,90.26419898,6.031831073,154.8698416,jute
24,67,20,29.09614476,90.22577561,5.985592095,154.9260358,jute
23,68,20,29.07226386,90.37046419,6.027280187,155.0089668,jute
20,82,20,27.89861487,82.41661429,5.883700768,202.9184382,cotton
22,80,20,27.71956076,82.52455543,5.962893064,201.9636986,cotton
22,82,20,25.45814891,82.77827638,5.918447282,198.3696478,cotton
23,79,20,26.16684454,82.77559286,5.995742365,200.8963818,cotton
25,80,20,27.70890565,82.85972528,6.079430239,203.7231396,cotton
100,22,20,25.28862115,58.97413077,6.701048963,158.0603968,coffee
97,22,20,25.23344968,58.99723447,6.70927673,158.0543046,coffee
102,22,20,25.46635972,59.09395517,6.812250741,158.1578064,coffee
100,24,20,25.47459671,59.1041534,6.748851949,158.1264483,coffee
0,0,27,31.00223042,90.18780507,5.749755684,107.3423494,mango
0,0,27,31.21419428,90.01895655,5.853026662,107.3001759,mango
0,0,27,31.26071474,90.33618285,5.790182826,107.2697614,mango
18,18,20,21.83235647,90.51897192,6.499494476,107.3248148,pomegranate
18,17,20,21.93213997,90.50231613,6.509128748,107.2884655,pomegranate
18,18,20,22.00388676,90.49397658,6.474994898,107.2521209,pomegranate
100,83,50,27.08777867,80.5641715,5.893926862,104.8901268,banana
102,80,50,27.40735788,80.26381831,5.95622872,105.3374584,banana
98,80,50,27.39058299,80.35573669,5.917074088,104.5485095,banana
